sub_region_1,iso_3166_2_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,25/03/2021,-47,-5,1,-48,-32,15
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,26/03/2021,-49,-3,-3,-49,-32,16
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,27/03/2021,-54,-8,-18,-51,-25,14
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,28/03/2021,-65,-33,-12,-53,-21,12
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,29/03/2021,-43,-8,13,-47,-30,13
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,30/03/2021,-42,-1,20,-46,-31,13
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,31/03/2021,-41,2,20,-45,-30,13
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,01/04/2021,-39,11,22,-44,-33,12
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,02/04/2021,-41,20,26,-45,-36,15
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,03/04/2021,-50,8,-14,-49,-31,12
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,04/04/2021,-77,-68,-31,-58,-24,10
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,05/04/2021,-75,-79,33,-68,-84,24
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,06/04/2021,-45,-1,-8,-48,-36,13
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,07/04/2021,-45,-2,-9,-46,-28,13
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,08/04/2021,-43,0,4,-44,-27,13
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,09/04/2021,-45,1,2,-44,-27,14
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,10/04/2021,-54,-8,-38,-52,-24,14
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,11/04/2021,-68,-35,-48,-56,-24,14
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,12/04/2021,-37,-4,-19,-40,-23,11
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,13/04/2021,-32,4,25,-35,-22,9
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,14/04/2021,-34,3,5,-36,-21,9
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,15/04/2021,-37,1,-22,-39,-22,11
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,16/04/2021,-39,4,-12,-38,-21,12
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,17/04/2021,-40,-1,12,-34,-17,9
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,18/04/2021,-56,-25,-10,-41,-18,10
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,19/04/2021,-31,-1,23,-33,-20,8
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,20/04/2021,-30,5,36,-32,-20,8
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,21/04/2021,-33,2,-8,-36,-19,9
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,22/04/2021,-30,5,33,-32,-19,8
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,23/04/2021,-33,7,39,-31,-19,9
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,24/04/2021,-37,1,32,-32,-14,7
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,25/04/2021,-50,-23,28,-34,-16,6
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,26/04/2021,-28,-1,-15,-35,-19,8
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,27/04/2021,-25,6,0,-32,-19,8
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,28/04/2021,-26,4,-8,-31,-18,8
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,29/04/2021,-27,5,-15,-33,-18,8
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,30/04/2021,-25,23,8,-29,-19,8
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,01/05/2021,-59,-53,-35,-49,-49,14
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,02/05/2021,-30,-5,42,-18,-12,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,03/05/2021,-17,10,36,-27,-18,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,04/05/2021,-18,11,36,-26,-18,6
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,05/05/2021,-18,8,34,-26,-16,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,06/05/2021,-19,8,33,-26,-17,6
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,07/05/2021,-20,9,45,-23,-16,6
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,08/05/2021,-24,0,43,-20,-13,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,09/05/2021,-31,-16,26,-18,-9,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,10/05/2021,-29,-4,-24,-34,-19,8
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,11/05/2021,-26,4,-17,-33,-18,8
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,12/05/2021,-17,8,36,-25,-16,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,13/05/2021,-17,8,38,-24,-17,6
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,14/05/2021,-25,6,7,-27,-17,8
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,15/05/2021,-25,1,23,-23,-14,4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,16/05/2021,-31,-18,32,-20,-11,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,17/05/2021,-18,3,30,-26,-17,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,18/05/2021,-16,8,38,-24,-16,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,19/05/2021,-15,8,39,-24,-15,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,20/05/2021,-14,9,51,-27,-15,4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,21/05/2021,-18,9,36,-25,-15,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,22/05/2021,-19,2,26,-22,-10,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,23/05/2021,-20,-16,59,-15,-5,0
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,24/05/2021,-23,2,-8,-32,-17,7
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,25/05/2021,-13,9,55,-25,-15,4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,26/05/2021,-13,9,47,-25,-14,4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,27/05/2021,-12,9,52,-24,-14,4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,28/05/2021,-14,10,61,-21,-15,4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,29/05/2021,-17,1,46,-17,-9,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,30/05/2021,-19,-11,41,-18,-5,0
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,31/05/2021,-11,9,51,-26,-17,4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,01/06/2021,-1,24,70,-21,-18,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,02/06/2021,-12,-15,118,-43,-77,16
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,03/06/2021,-10,15,52,-23,-16,4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,04/06/2021,-13,10,58,-22,-15,4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,05/06/2021,-15,1,40,-19,-8,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,06/06/2021,-16,-11,55,-12,-3,-1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,07/06/2021,-15,5,11,-27,-14,4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,08/06/2021,-8,14,38,-23,-14,4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,09/06/2021,-6,13,57,-23,-13,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,10/06/2021,-5,13,61,-21,-14,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,11/06/2021,-8,12,76,-19,-14,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,12/06/2021,-14,0,56,-17,-10,-1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,13/06/2021,-19,-10,47,-11,-6,-4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,14/06/2021,-9,9,52,-27,-23,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,15/06/2021,-5,13,59,-26,-22,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,16/06/2021,-7,11,42,-27,-22,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,17/06/2021,-8,9,48,-26,-23,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,18/06/2021,-11,6,67,-25,-23,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,19/06/2021,-16,-4,54,-16,-12,-3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,20/06/2021,-25,-14,10,-19,-8,-2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,21/06/2021,-12,3,30,-28,-24,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,22/06/2021,-11,5,32,-27,-24,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,23/06/2021,-8,10,39,-27,-22,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,24/06/2021,-7,5,54,-32,-34,4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,25/06/2021,-9,7,74,-26,-27,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,26/06/2021,-18,-5,47,-18,-12,-3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,27/06/2021,-19,-14,43,-10,-5,-5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,28/06/2021,-8,7,51,-26,-25,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,29/06/2021,-8,9,50,-27,-25,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,30/06/2021,-5,9,61,-26,-23,0
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,01/07/2021,-5,10,63,-23,-24,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,02/07/2021,-13,7,60,-24,-24,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,03/07/2021,-15,-4,42,-16,-12,-2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,04/07/2021,-14,-7,25,-11,-3,-3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,05/07/2021,-7,6,58,-25,-25,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,06/07/2021,-7,10,53,-25,-25,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,07/07/2021,-10,5,35,-27,-24,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,08/07/2021,-16,-1,9,-31,-26,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,09/07/2021,-8,6,75,-21,-24,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,10/07/2021,-14,-4,54,-14,-11,-4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,11/07/2021,-18,-7,43,-4,0,-7
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,12/07/2021,-11,1,54,-25,-27,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,13/07/2021,-15,1,10,-32,-27,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,14/07/2021,-2,11,59,-23,-24,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,15/07/2021,-4,8,51,-24,-25,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,16/07/2021,-10,4,58,-24,-24,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,17/07/2021,-13,-6,57,-13,-10,-4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,18/07/2021,-17,-14,42,-7,0,-6
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,19/07/2021,-9,4,53,-26,-27,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,20/07/2021,-5,8,71,-24,-26,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,21/07/2021,-5,7,60,-26,-24,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,22/07/2021,-6,5,61,-25,-25,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,23/07/2021,-11,3,65,-24,-25,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,24/07/2021,-17,-8,39,-18,-10,-3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,25/07/2021,-20,-13,14,-17,1,-3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,26/07/2021,-9,5,40,-29,-27,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,27/07/2021,-8,6,38,-28,-26,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,28/07/2021,-4,8,56,-28,-25,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,29/07/2021,-5,4,62,-27,-26,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,30/07/2021,-12,1,44,-28,-26,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,31/07/2021,-21,-9,9,-22,-12,-1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,01/08/2021,-19,-10,14,-15,1,-3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,02/08/2021,-6,6,63,-28,-34,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,03/08/2021,-7,8,56,-31,-35,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,04/08/2021,-9,7,29,-35,-34,4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,05/08/2021,-6,4,69,-29,-35,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,06/08/2021,-15,1,65,-31,-36,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,07/08/2021,-26,-11,17,-26,-21,-2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,08/08/2021,-25,-19,35,-16,-1,-5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,09/08/2021,-14,2,75,-36,-54,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,10/08/2021,-12,3,91,-36,-54,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,11/08/2021,-15,0,78,-38,-54,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,12/08/2021,-18,-1,66,-39,-56,6
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,13/08/2021,-25,-2,65,-40,-56,7
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,14/08/2021,-35,-14,27,-31,-34,-1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,15/08/2021,-45,-48,24,-21,-15,-8
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,16/08/2021,-22,-6,69,-40,-64,6
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,17/08/2021,-19,-2,89,-39,-62,7
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,18/08/2021,-20,-3,81,-40,-58,7
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,19/08/2021,-20,-3,72,-39,-58,7
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,20/08/2021,-26,-7,70,-39,-57,8
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,21/08/2021,-32,-20,35,-27,-30,-2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,22/08/2021,-30,-21,23,-18,3,-4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,23/08/2021,-17,1,57,-37,-47,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,24/08/2021,-15,3,59,-37,-45,6
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,25/08/2021,-14,3,61,-36,-43,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,26/08/2021,-15,0,64,-34,-42,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,27/08/2021,-19,1,56,-33,-41,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,28/08/2021,-20,-8,39,-19,-19,-2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,29/08/2021,-20,-12,40,-10,5,-5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,30/08/2021,-9,8,59,-29,-32,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,31/08/2021,-7,12,60,-28,-31,4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,01/09/2021,-6,11,59,-27,-28,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,02/09/2021,-7,10,55,-28,-28,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,03/09/2021,-11,8,61,-25,-27,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,04/09/2021,-13,-1,51,-14,-13,-2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,05/09/2021,-14,-7,49,-6,3,-4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,06/09/2021,-6,10,63,-24,-27,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,07/09/2021,-3,13,69,-23,-26,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,08/09/2021,-4,13,58,-23,-25,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,09/09/2021,-4,12,57,-22,-25,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,10/09/2021,-8,9,63,-21,-25,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,11/09/2021,-9,1,65,-9,-11,-3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,12/09/2021,-11,-2,56,-4,3,-3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,13/09/2021,0,16,61,-16,-27,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,14/09/2021,-1,18,62,-13,-26,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,15/09/2021,-3,17,37,-15,-24,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,16/09/2021,-6,13,36,-16,-26,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,17/09/2021,-5,10,64,-15,-25,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,18/09/2021,-10,3,38,-11,-11,-1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,19/09/2021,-13,-4,24,-9,-1,-1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,20/09/2021,-4,12,41,-16,-25,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,21/09/2021,-2,16,57,-15,-24,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,22/09/2021,-2,15,51,-16,-20,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,23/09/2021,-4,13,47,-15,-21,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,24/09/2021,-5,12,75,-13,-21,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,25/09/2021,-9,4,55,-9,-10,-1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,26/09/2021,-21,-6,-16,-22,-4,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,27/09/2021,-4,13,43,-15,-20,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,28/09/2021,-3,14,50,-14,-20,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,29/09/2021,-4,13,43,-18,-20,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,30/09/2021,-5,12,41,-17,-19,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,01/10/2021,-8,13,38,-17,-19,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,02/10/2021,-10,4,34,-13,-11,-1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,03/10/2021,-19,-2,-8,-16,-6,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,04/10/2021,-15,5,-13,-25,-22,4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,05/10/2021,-11,10,5,-25,-22,4
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,06/10/2021,-6,14,34,-20,-18,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,07/10/2021,-6,11,38,-19,-18,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,08/10/2021,-9,11,43,-18,-18,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,09/10/2021,-11,5,26,-16,-11,0
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,10/10/2021,-12,-5,37,-7,-5,-1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,11/10/2021,-8,11,31,-26,-19,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,12/10/2021,-6,14,37,-20,-18,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,13/10/2021,-5,16,33,-20,-17,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,14/10/2021,-6,18,27,-20,-17,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,15/10/2021,-7,16,38,-17,-18,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,16/10/2021,-8,7,41,-10,-11,0
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,17/10/2021,-8,-2,42,-1,-5,-1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,18/10/2021,-7,16,29,-19,-19,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,19/10/2021,-6,17,30,-20,-18,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,20/10/2021,-7,18,21,-21,-16,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,21/10/2021,-8,15,17,-21,-17,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,22/10/2021,-8,13,38,-16,-16,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,23/10/2021,-10,7,32,-14,-10,0
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,24/10/2021,-15,-3,23,-11,-5,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,25/10/2021,-9,14,22,-21,-17,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,26/10/2021,-6,15,31,-19,-16,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,27/10/2021,-5,18,30,-19,-15,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,28/10/2021,-6,17,26,-18,-15,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,29/10/2021,-8,18,28,-15,-16,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,30/10/2021,-13,10,-2,-17,-13,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,31/10/2021,-11,9,-11,-17,-7,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,01/11/2021,-22,-21,4,-46,-80,19
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,02/11/2021,-7,23,29,-16,-17,2
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,03/11/2021,-14,13,-15,-25,-14,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,04/11/2021,-8,18,17,-20,-14,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,05/11/2021,-10,14,21,-19,-13,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,06/11/2021,-9,9,22,-15,-8,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,07/11/2021,-13,-3,24,-10,-6,1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,08/11/2021,-13,12,-2,-24,-15,4
