sub_region_2,iso_3166_2_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,20/02/2020,2,0,10,4,2,-1
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,20/02/2020,-1,3,17,-1,0,0
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,20/02/2020,3,0,15,8,1,-1
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,20/02/2020,0,-1,15,2,0,0
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,20/02/2020,5,1,5,12,2,-1
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,20/02/2020,2,2,22,0,0,-1
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,21/02/2020,1,-1,25,4,0,0
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,21/02/2020,0,-3,12,8,0,-1
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,21/02/2020,1,1,21,7,1,-1
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,21/02/2020,-3,-4,54,3,-1,0
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,21/02/2020,3,0,16,13,0,-1
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,21/02/2020,-2,-1,28,8,0,-1
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,21/02/2020,4,-1,26,9,1,0
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,21/02/2020,-1,0,15,5,0,0
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,22/02/2020,-4,0,25,1,-4,-1
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,22/02/2020,-8,-4,27,9,-3,0
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,22/02/2020,-4,2,11,8,-1,-1
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,22/02/2020,-11,-4,53,0,0,0
