sub_region_2,iso_3166_2_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,19/05/2020,-45,-19,9,-50,-42,18
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,19/05/2020,-47,-21,-32,-52,-34,15
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,19/05/2020,-38,-19,-14,-42,-33,16
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,19/05/2020,-44,-18,8,-28,-32,14
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,19/05/2020,-42,-18,-39,-38,-33,15
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,19/05/2020,-44,-22,-19,-54,-35,16
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,19/05/2020,-42,-19,60,-39,-32,13
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,19/05/2020,-48,-11,-3,-51,-34,14
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,20/05/2020,-44,-17,37,-49,-42,17
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,20/05/2020,-46,-19,6,-48,-33,14
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,20/05/2020,-39,-23,-6,-43,-32,14
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,20/05/2020,-44,-21,37,-26,-32,14
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,20/05/2020,-38,-17,4,-29,-32,12
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,20/05/2020,-43,-21,12,-50,-34,15
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,20/05/2020,-43,-17,60,-36,-32,13
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,20/05/2020,-47,-16,27,-50,-33,13
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,21/05/2020,-45,-15,21,-48,-42,17
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,21/05/2020,-45,-18,11,-45,-33,14
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,21/05/2020,-39,-19,8,-38,-32,14
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,21/05/2020,-44,-10,33,-28,-32,14
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,21/05/2020,-39,-15,3,-28,-32,13
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,21/05/2020,-43,-18,6,-49,-35,15
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,21/05/2020,-40,-12,47,-34,-37,14
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,21/05/2020,-46,-13,7,-52,-32,14
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,22/05/2020,-46,-13,26,-48,-41,18
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,22/05/2020,-48,-16,-2,-45,-33,16
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,22/05/2020,-40,-15,10,-39,-33,15
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,22/05/2020,-47,-14,22,-26,-31,16
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,22/05/2020,-42,-11,7,-27,-32,14
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,22/05/2020,-46,-17,7,-50,-34,16
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,22/05/2020,-45,-15,38,-40,-33,15
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,22/05/2020,-50,-9,8,-50,-32,15
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,23/05/2020,-45,-20,-5,-40,-19,10
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,23/05/2020,-50,-22,8,-35,-23,11
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,23/05/2020,-37,-22,0,-32,-16,8
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,23/05/2020,-46,-21,26,-15,-14,10
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,23/05/2020,-38,-16,7,-17,-24,9
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,23/05/2020,-50,-24,-15,-50,-18,11
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,23/05/2020,-46,-23,-13,-38,-17,10
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,23/05/2020,-46,-11,-1,-41,-18,9
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,24/05/2020,-46,-36,26,-35,-4,4
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,24/05/2020,-53,-38,43,-31,-12,7
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,24/05/2020,-39,-32,27,-32,-5,6
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,24/05/2020,-41,-35,109,1,-3,5
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,24/05/2020,-38,-32,23,-2,-10,4
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,24/05/2020,-51,-39,6,-38,-8,6
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,24/05/2020,-39,-35,55,-23,-10,4
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,24/05/2020,-45,-27,34,-41,-8,6
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,25/05/2020,-34,-17,29,-47,-40,15
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,25/05/2020,-38,-20,11,-40,-32,12
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,25/05/2020,-30,-21,19,-39,-31,12
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,25/05/2020,-33,-11,35,-25,-32,12
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,25/05/2020,-32,-18,15,-28,-31,10
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,25/05/2020,-34,-21,13,-48,-33,13
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,25/05/2020,-31,-19,50,-34,-30,11
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,25/05/2020,-39,-15,24,-49,-31,12
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,26/05/2020,-35,-14,32,-46,-38,15
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,26/05/2020,-37,-18,10,-41,-30,12
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,26/05/2020,-31,-22,14,-37,-29,12
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,26/05/2020,-32,-17,40,-21,-30,12
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,26/05/2020,-29,-16,15,-28,-29,10
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,26/05/2020,-33,-20,10,-47,-31,13
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,26/05/2020,-28,-18,79,-31,-29,10
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,26/05/2020,-36,-6,23,-48,-29,12
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,27/05/2020,-35,-13,32,-46,-38,15
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,27/05/2020,-37,-16,15,-43,-30,12
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,27/05/2020,-30,-19,-3,-37,-29,12
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,27/05/2020,-32,-17,43,-26,-29,12
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,27/05/2020,-29,-13,-1,-26,-29,11
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,27/05/2020,-33,-17,27,-44,-31,12
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,27/05/2020,-29,-17,62,-31,-28,10
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,27/05/2020,-37,-10,33,-47,-29,12
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,28/05/2020,-35,-13,26,-45,-38,15
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,28/05/2020,-37,-16,16,-42,-30,12
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,28/05/2020,-29,-17,12,-38,-29,12
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,28/05/2020,-33,-10,27,-25,-30,13
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,28/05/2020,-29,-14,12,-26,-30,11
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,28/05/2020,-33,-16,18,-46,-32,13
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,28/05/2020,-29,-16,40,-30,-28,10
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,28/05/2020,-36,-11,33,-46,-30,12
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,29/05/2020,-37,-11,17,-45,-39,16
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,29/05/2020,-38,-14,5,-39,-31,13
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,29/05/2020,-30,-13,14,-37,-32,14
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,29/05/2020,-36,-12,16,-25,-31,14
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,29/05/2020,-33,-9,-11,-30,-31,13
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,29/05/2020,-36,-12,24,-45,-32,14
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,29/05/2020,-33,-15,40,-33,-28,12
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,29/05/2020,-38,-7,13,-48,-31,14
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,30/05/2020,-37,-15,17,-32,-13,6
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,30/05/2020,-42,-18,38,-22,-18,7
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,30/05/2020,-29,-19,13,-25,-11,6
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,30/05/2020,-36,-16,77,-11,-11,7
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,30/05/2020,-29,-11,39,-6,-19,6
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,30/05/2020,-41,-19,27,-31,-11,7
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,30/05/2020,-34,-16,31,-23,-10,7
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,30/05/2020,-39,-8,21,-33,-13,7
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,31/05/2020,-41,-31,11,-35,2,4
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,31/05/2020,-45,-31,46,-22,-8,6
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,31/05/2020,-32,-24,31,-26,1,5
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,31/05/2020,-34,-25,99,-3,0,6
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,31/05/2020,-31,-27,26,3,-6,5
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,31/05/2020,-44,-33,22,-27,-2,6
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,31/05/2020,-29,-27,75,-11,-4,5
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,31/05/2020,-39,-18,30,-44,-4,6
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,01/06/2020,-17,4,59,-40,-52,13
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,01/06/2020,-24,1,47,-27,-43,12
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,01/06/2020,-12,0,49,-33,-44,12
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,01/06/2020,-10,16,146,-11,-48,13
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,01/06/2020,-10,6,104,-15,-46,10
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,01/06/2020,-15,0,106,-33,-46,13
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,01/06/2020,-4,4,229,2,-43,10
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,01/06/2020,-20,8,,-45,-46,13
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,02/06/2020,-37,-44,110,-54,-76,18
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,02/06/2020,-44,-39,90,-43,-71,20
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,02/06/2020,-33,-37,54,-44,-71,19
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,02/06/2020,-29,-42,,-30,-76,19
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,02/06/2020,-21,-34,151,-20,-75,15
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,02/06/2020,-32,-42,161,-36,-75,20
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,02/06/2020,-21,-36,,1,-62,13
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,02/06/2020,-40,-33,,-55,-71,19
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,03/06/2020,-37,-14,-11,-44,-37,14
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,03/06/2020,-31,-8,7,-29,-28,10
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,03/06/2020,-27,-17,-12,-34,-28,11
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,03/06/2020,-31,-17,2,-28,-29,11
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,03/06/2020,-29,-11,-15,-25,-28,10
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,03/06/2020,-28,-11,6,-35,-29,11
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,03/06/2020,-26,-9,40,-25,-28,9
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,03/06/2020,-36,-7,21,-42,-28,10
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,04/06/2020,-37,-12,-37,-47,-38,16
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,04/06/2020,-35,-10,-28,-38,-31,13
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,04/06/2020,-28,-13,-30,-37,-30,14
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,04/06/2020,-36,-14,-43,-38,-31,14
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,04/06/2020,-29,-6,-22,-31,-29,12
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,04/06/2020,-35,-16,-50,-49,-32,14
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,04/06/2020,-36,-17,-45,-44,-31,14
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,04/06/2020,-40,-13,-33,-52,-31,13
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,05/06/2020,-28,-9,42,-38,-35,12
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,05/06/2020,-26,-8,24,-22,-28,9
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,05/06/2020,-22,-14,29,-30,-28,10
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,05/06/2020,-27,-10,50,-18,-29,10
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,05/06/2020,-21,-9,26,-20,-28,8
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,05/06/2020,-22,-12,50,-33,-29,11
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,05/06/2020,-19,-7,76,-21,-27,9
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,05/06/2020,-29,-5,39,-37,-27,9
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,06/06/2020,-30,-15,18,-29,-11,4
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,06/06/2020,-30,-14,69,1,-16,4
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,06/06/2020,-20,-17,16,-15,-10,3
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,06/06/2020,-26,-13,75,-15,-10,5
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,06/06/2020,-22,-12,44,-4,-18,3
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,06/06/2020,-25,-16,39,-16,-10,5
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,06/06/2020,-21,-9,36,-8,-10,5
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,06/06/2020,-30,-8,34,-23,-11,5
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,07/06/2020,-40,-30,-31,-42,-1,6
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,07/06/2020,-38,-25,17,-7,-8,7
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,07/06/2020,-32,-24,2,-31,0,6
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,07/06/2020,-38,-29,-29,-33,-8,9
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,07/06/2020,-30,-23,-15,-21,-6,5
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,07/06/2020,-41,-34,-68,-59,-9,8
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,07/06/2020,-47,-39,-61,-60,-15,10
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,07/06/2020,-43,-20,-36,-50,-7,8
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,08/06/2020,-35,-22,-31,-48,-37,14
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,08/06/2020,-29,-14,-13,-29,-28,11
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,08/06/2020,-25,-20,-17,-36,-29,11
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,08/06/2020,-28,-14,-9,-28,-30,11
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,08/06/2020,-28,-17,-13,-32,-28,10
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,08/06/2020,-27,-22,-28,-44,-29,12
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,08/06/2020,-24,-15,14,-31,-27,10
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,08/06/2020,-33,-16,-9,-45,-28,10
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,09/06/2020,-32,-19,-27,-47,-36,14
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,09/06/2020,-28,-13,-1,-32,-27,10
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,09/06/2020,-24,-18,-4,-32,-28,11
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,09/06/2020,-23,-15,0,-24,-29,11
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,09/06/2020,-25,-15,-17,-35,-27,10
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,09/06/2020,-20,-17,-11,-45,-29,11
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,09/06/2020,-21,-16,28,-34,-28,10
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,09/06/2020,-30,-5,13,-41,-27,11
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,10/06/2020,-24,-11,13,-41,-35,12
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,10/06/2020,-26,-12,19,-31,-26,9
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,10/06/2020,-21,-18,-12,-34,-27,10
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,10/06/2020,-22,-17,7,-26,-29,10
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,10/06/2020,-18,-12,8,-25,-25,8
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,10/06/2020,-20,-17,2,-43,-28,10
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,10/06/2020,-19,-13,31,-29,-27,9
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,10/06/2020,-28,-8,24,-39,-26,9
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,11/06/2020,-29,-16,-32,-46,-36,14
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,11/06/2020,-22,-9,13,-29,-27,9
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,11/06/2020,-17,-14,-6,-36,-27,10
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,11/06/2020,-24,-11,-21,-32,-30,11
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,11/06/2020,-20,-10,-4,-38,-26,9
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,11/06/2020,-19,-12,-21,-39,-29,11
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,11/06/2020,-15,-11,7,-31,-32,11
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,11/06/2020,-27,-9,20,-41,-28,10
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,12/06/2020,-30,-13,-16,-44,-36,14
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,12/06/2020,-21,-10,24,-24,-27,9
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,12/06/2020,-17,-13,22,-32,-29,9
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,12/06/2020,-26,-14,-3,-30,-30,12
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,12/06/2020,-20,-8,10,-33,-27,9
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,12/06/2020,-20,-12,25,-27,-29,10
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,12/06/2020,-18,-12,45,-24,-29,10
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,12/06/2020,-29,-8,26,-38,-27,10
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,13/06/2020,-34,-18,-28,-39,-10,7
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,13/06/2020,-30,-15,4,-16,-14,7
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,13/06/2020,-24,-20,-25,-27,-10,7
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,13/06/2020,-27,-16,35,-14,-8,6
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,13/06/2020,-27,-12,-16,-33,-16,7
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,13/06/2020,-24,-16,24,-2,-5,5
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,13/06/2020,-15,-13,66,1,-6,4
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,13/06/2020,-31,-13,33,-23,-9,5
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,14/06/2020,-25,-26,40,-23,10,-1
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,14/06/2020,-19,-23,101,18,2,1
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,14/06/2020,-12,-21,60,-12,5,0
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,14/06/2020,-16,-29,132,0,8,2
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,14/06/2020,-12,-23,76,-4,0,-2
