geo_type,region,transportation_type,alternative_name,sub-region,country,13/01/2020,14/01/2020,15/01/2020,16/01/2020,17/01/2020,18/01/2020,19/01/2020,20/01/2020,21/01/2020,22/01/2020,23/01/2020,24/01/2020,25/01/2020,26/01/2020,27/01/2020,28/01/2020,29/01/2020,30/01/2020,31/01/2020,01/02/2020,02/02/2020,03/02/2020,04/02/2020,05/02/2020,06/02/2020,07/02/2020,08/02/2020,09/02/2020,10/02/2020,11/02/2020,12/02/2020,13/02/2020,14/02/2020,15/02/2020,16/02/2020,17/02/2020,18/02/2020,19/02/2020,20/02/2020,21/02/2020,22/02/2020,23/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020,10/07/2020,11/07/2020,12/07/2020,13/07/2020,14/07/2020,15/07/2020,16/07/2020,17/07/2020,18/07/2020,19/07/2020,20/07/2020,21/07/2020,22/07/2020,23/07/2020,24/07/2020,25/07/2020,26/07/2020,27/07/2020,28/07/2020,29/07/2020,30/07/2020,31/07/2020,01/08/2020,02/08/2020,03/08/2020,04/08/2020,05/08/2020,06/08/2020,07/08/2020,08/08/2020,09/08/2020,10/08/2020,11/08/2020,12/08/2020,13/08/2020,14/08/2020,15/08/2020,16/08/2020,17/08/2020,18/08/2020,19/08/2020,20/08/2020,21/08/2020,22/08/2020,23/08/2020,24/08/2020,25/08/2020,26/08/2020,27/08/2020,28/08/2020,29/08/2020,30/08/2020,31/08/2020,01/09/2020,02/09/2020,03/09/2020,04/09/2020,05/09/2020,06/09/2020,07/09/2020,08/09/2020,09/09/2020,10/09/2020,11/09/2020,12/09/2020,13/09/2020,14/09/2020,15/09/2020,16/09/2020,17/09/2020,18/09/2020,19/09/2020,20/09/2020,21/09/2020,22/09/2020,23/09/2020,24/09/2020,25/09/2020,26/09/2020,27/09/2020,28/09/2020,29/09/2020,30/09/2020,01/10/2020,02/10/2020,03/10/2020,04/10/2020,05/10/2020,06/10/2020,07/10/2020,08/10/2020,09/10/2020,10/10/2020,11/10/2020,12/10/2020,13/10/2020,14/10/2020,15/10/2020,16/10/2020,17/10/2020,18/10/2020,19/10/2020,20/10/2020,21/10/2020,22/10/2020,23/10/2020,24/10/2020,25/10/2020,26/10/2020,27/10/2020,28/10/2020,29/10/2020,30/10/2020,31/10/2020,01/11/2020,02/11/2020,03/11/2020,04/11/2020,05/11/2020,06/11/2020,07/11/2020,08/11/2020,09/11/2020,10/11/2020,11/11/2020,12/11/2020,13/11/2020,14/11/2020,15/11/2020,16/11/2020,17/11/2020,18/11/2020,19/11/2020,20/11/2020,21/11/2020,22/11/2020,23/11/2020,24/11/2020,25/11/2020,26/11/2020,27/11/2020,28/11/2020,29/11/2020,30/11/2020,01/12/2020,02/12/2020,03/12/2020,04/12/2020,05/12/2020,06/12/2020,07/12/2020,08/12/2020,09/12/2020,10/12/2020,11/12/2020,12/12/2020,13/12/2020,14/12/2020,15/12/2020,16/12/2020,17/12/2020,18/12/2020,19/12/2020,20/12/2020,21/12/2020,22/12/2020,23/12/2020,24/12/2020,25/12/2020,26/12/2020,27/12/2020,28/12/2020,29/12/2020,30/12/2020,31/12/2020,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,09/01/2021,10/01/2021,11/01/2021,12/01/2021,13/01/2021,14/01/2021,15/01/2021,16/01/2021,17/01/2021,18/01/2021,19/01/2021,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021,27/02/2021,28/02/2021,01/03/2021,02/03/2021,03/03/2021,04/03/2021,05/03/2021,06/03/2021,07/03/2021,08/03/2021,09/03/2021,10/03/2021,11/03/2021,12/03/2021,13/03/2021,14/03/2021,15/03/2021,16/03/2021,17/03/2021,18/03/2021,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021,25/03/2021,26/03/2021,27/03/2021,28/03/2021,29/03/2021,30/03/2021,31/03/2021,01/04/2021,02/04/2021,03/04/2021,04/04/2021,05/04/2021,06/04/2021,07/04/2021,08/04/2021,09/04/2021,10/04/2021,11/04/2021,12/04/2021,13/04/2021,14/04/2021,15/04/2021,16/04/2021,17/04/2021,18/04/2021,19/04/2021,20/04/2021,21/04/2021,22/04/2021,23/04/2021,24/04/2021,25/04/2021,26/04/2021,27/04/2021,28/04/2021,29/04/2021,30/04/2021,01/05/2021,02/05/2021,03/05/2021,04/05/2021,05/05/2021,06/05/2021,07/05/2021,08/05/2021,09/05/2021,10/05/2021,11/05/2021,12/05/2021,13/05/2021,14/05/2021,15/05/2021,16/05/2021,17/05/2021,18/05/2021,19/05/2021,20/05/2021,21/05/2021,22/05/2021,23/05/2021,24/05/2021,25/05/2021,26/05/2021,27/05/2021,28/05/2021,29/05/2021,30/05/2021,31/05/2021,01/06/2021,02/06/2021,03/06/2021,04/06/2021,05/06/2021,06/06/2021,07/06/2021,08/06/2021,09/06/2021,10/06/2021,11/06/2021,12/06/2021,13/06/2021,14/06/2021,15/06/2021,16/06/2021,17/06/2021,18/06/2021,19/06/2021,20/06/2021,21/06/2021,22/06/2021,23/06/2021,24/06/2021,25/06/2021,26/06/2021,27/06/2021,28/06/2021,29/06/2021,30/06/2021,01/07/2021,02/07/2021,03/07/2021,04/07/2021,05/07/2021,06/07/2021
country/region,Italy,driving,Italia,,,100,102.63,105.41,106.18,114.69,127.45,110.65,102.59,103.94,106.67,107.02,119.01,126.85,109.51,99.61,102.59,104.68,105.67,114.35,125.55,111.41,100.52,101.89,103.77,105.58,119.19,129.46,117.1,104.55,108.02,112.5,116.51,139.93,145.29,132.32,110.43,112.72,118.28,120.67,135.58,139.43,114.78,98.2,92.5,89.15,90.16,97.78,100.27,83.48,81.65,85.76,84.99,82.37,84.73,84.19,68.71,54.84,37.32,30.97,23.12,21.55,16.85,15.92,19.58,19.4,19.1,19.82,19.94,16.88,13.22,17.28,17.79,17.69,17.16,17.89,16.53,13.89,17.83,18.85,18.92,19.69,20.08,18.14,15.64,19.96,21.51,23.02,23.97,25.06,22,12.66,15.13,21.84,23.68,24.21,24.65,22.42,19.4,22.62,24.26,25.1,26.26,27.09,21.75,22.82,26.3,27.48,28.7,28.34,22.26,26.67,28.53,43.63,44.31,45.04,45.91,47.45,43.9,39.72,,,47.23,48.9,49.59,46.15,46.84,59.52,60.08,63.26,67.38,71.32,75.06,73.59,67.43,70.24,72.31,73.3,76.91,83.23,82.99,88.54,102.93,86.08,84.73,96.16,103.88,91.62,85.54,91.03,92.61,96.06,107.81,110.15,114.33,97.67,99.24,102.06,108.34,124.81,139.92,148.53,111.02,117.36,119.93,124.01,146.91,155.9,157.62,128.78,124.8,128.26,131.66,151.56,160.01,161.84,133.75,134.55,140.4,144.98,169.25,171.7,175.16,144.5,146.61,149.7,154.99,176.54,186.79,183.38,157.09,156.98,160.77,166.36,186.92,196.78,189.74,167.76,166.05,169.48,172.47,190.32,198.38,183.69,176.22,179.45,178.56,183.16,203.61,222.86,201.47,198.87,189.78,188.69,194.61,208.5,204.23,211.54,198.94,192.08,187.89,188.22,189.95,212.49,193.57,170.81,160.15,159.93,158.37,168.29,177.38,172.15,148.6,142.54,148.47,151.55,168.5,180.96,180.46,151.36,151.02,152.11,154.69,169.52,177.19,172.4,140.51,143.88,147.38,152.14,163.47,168.1,158.14,131.31,133.32,134.65,132.2,140.16,148.72,129.19,120.05,124.42,125.82,125.19,130.94,140.91,126.1,114.01,117.04,118.73,121.07,132.47,139.94,112.41,104.91,107.05,107.4,105.12,115.85,117.86,113.38,95.8,97.01,97.56,96.78,98.37,90.73,90.65,78.76,81.64,83.93,83.92,88.13,88.18,76.87,75.01,74.68,77.31,76.55,65.65,61.96,58.26,61.41,65.04,62.96,62.67,64.72,58.45,44.18,55.47,58.75,61.31,61.53,60.86,53.22,46.17,58.74,60.37,61.51,62.63,65,54.42,47.07,63.21,64.43,62.51,65.89,72.42,57.65,47.84,64.08,50.78,71.73,73.1,76.23,69.25,72.4,79.35,80.33,82.6,87.5,97.77,84.16,70.56,82.58,87.73,87.82,30.14,18.93,26.77,36.9,56.16,61.52,62.27,37.07,23.48,34.85,38.7,61.4,45.77,38.63,69.34,74.53,51.83,45.73,67.13,69.7,70.52,72.27,74.48,66.68,48.17,65.98,67.51,67.19,67.53,68,60.13,52.21,68.63,71.65,71.53,72.39,72.35,68.06,57.52,76.36,78.82,79.41,81.25,85.24,91.51,70.93,80.12,80.72,82.31,87.29,86.43,87.58,97.9,81.68,84.05,83.66,84.8,89.5,95.97,86.83,79.09,81.82,83.69,85.17,90.15,93.22,93.4,75.78,77.19,78.43,77.94,77.25,70.44,65.42,69.84,70.26,72.58,73.17,,70.38,60.11,57.96,59.86,61.88,62.76,62.42,52.71,45.35,61.89,63.74,65.52,65.99,68.03,57.5,51,65.22,69.96,72.92,74.45,70.02,48.64,35.04,55.29,71.09,72.02,74.45,74.26,62.95,58.47,74.25,78.28,79.4,79.54,81.05,73.81,65.62,79.93,81.94,82.79,82.49,86.95,81.52,79.3,89.63,93.74,96.91,96.74,113.46,100.39,119.83,97.07,98.83,101.94,105.05,118.12,127.14,135.49,100.5,100.7,106.93,109.79,116.29,123.8,124.32,107.53,109.54,112.49,115.97,129.98,140.44,145.49,114.84,115.35,119.12,123.05,141.68,151.87,153.01,127.06,137.81,159.28,136.92,145.86,151.46,155.48,124.94,130.19,134.72,137.43,151.39,160.34,167.56,136.61,139.75,140.28,145.4,165.96,173.23,164.33,144.84,149.06,150.62,156.62,179.81,178.58,182.73,152.68,153.21,157.47,163.41,177.82,188.56,184.42,159.98,155.15
country/region,Italy,transit,Italia,,,100,100.82,100.4,99.52,107.35,113.33,108.25,102.14,99.04,100.05,102.72,107.54,116.79,110.36,101.6,101.95,102.49,100.8,101.93,107.43,106.2,98.79,99.71,98.91,103.67,114.12,117.08,113.16,108.57,109.4,110.36,117.55,127.08,130.72,125.6,119.01,118,120.44,124.06,126.36,126.83,113.18,96.25,81.28,74.29,74.11,76.73,76.34,69.12,67.14,65.83,61.44,59.45,57.32,52,46.69,37.69,23.02,19,13.06,11.93,10.96,11.13,10.88,10.76,10.22,10.35,10.17,9.51,9.23,9.7,9.29,9.31,8.86,8.43,8.59,9.18,9.5,9.76,9.22,9.61,8.57,8.58,9.25,9.68,11.43,10.18,10.3,10.05,9.27,8.71,10.25,11.23,11.32,11.2,11.22,10.6,11.38,12.05,11.96,12.25,11.41,11.36,10.93,13.16,13.35,12.98,13.31,13.21,13.1,13.96,17.69,20.52,21.63,21,21.18,21.48,21.79,21.56,,,20.1,20.93,20.55,21.57,25.92,26.67,26,27.17,28.73,28.41,30.02,31.71,32.26,31.21,31.19,30.82,29.44,31.77,34.43,37.59,38.91,38.68,36.89,40.07,42.99,40.9,42.38,44.74,43.48,42.42,46.23,43.82,47.66,48.74,49.23,47.9,50.57,51.78,53.03,55.63,58.05,58.86,58.65,58.36,61.25,61.36,60.44,60.49,62.58,63.31,64.49,65.29,65.65,68.59,71.11,69.16,69.76,70.65,72.42,71.18,72.3,75.76,75.09,74.61,73.89,76.15,76.24,77.26,80.39,80.74,79.46,79.54,80.21,81.42,81.08,83.67,82.76,81.95,81.58,80.7,79.18,80.35,85.36,86.15,84.66,84.44,82.91,85.2,82.01,85.81,85.33,83.46,84.52,85.09,78.02,82.93,84.74,85.02,84.4,81.3,77.93,80.2,77.33,78.02,75.94,77.53,76.75,75.41,71,74.91,76.27,79.73,81.04,82.18,83,80.96,85.3,91.17,91.74,91.12,89.89,89.66,88.09,88.44,92.65,90.42,97.03,109.89,107.33,101.95,97.65,95.54,96.1,92.04,90.49,87.6,85.56,80.78,85.85,86.8,85.74,85.5,83.42,83.24,83.22,82.16,81.88,80.23,82.12,84.82,82.81,73.79,73.58,71.62,69.75,66.29,67.89,65.89,63.47,62.5,60.44,59.27,60.05,62.47,55.97,57.89,56.47,54.05,54.03,59.06,54.96,49.26,47.7,48.75,46.94,46.57,44.98,41.59,37.93,39.06,40.62,41.13,40.23,40.74,41.37,37.77,38.19,38.89,38.84,40.21,39.89,39.01,37.34,36.89,40.4,40.41,39.66,40.78,44.06,39.02,39.7,43.97,43.12,42.11,42.52,44.25,39.51,36.95,42.38,38.94,47.38,47.28,47.32,44.83,48.51,52.76,50.05,52.06,51.07,52.5,49.17,44.79,47.63,48.18,43.08,19.73,19.19,26.77,34.1,40.98,40.22,37.67,22.88,23.8,30.2,36.16,44.07,35.91,36.69,49.46,49.48,42.08,46.35,53.31,52.05,52.58,53.51,52.77,47.02,45.39,52.95,52.77,51.8,50.18,50,46.26,48.07,54.49,54.59,55.22,55.83,54.17,53.1,53.96,62.7,62.48,61.82,62.64,64.17,65.43,57.77,68.82,67.02,67.71,69,67.82,67.48,71.36,71.12,71.25,71.6,71.8,73.67,73.02,70.52,72.9,71.63,72.72,72.47,72.57,73.29,74.1,69.99,67.67,67.43,65.3,63.79,57.76,59.47,59.71,62.18,62.05,62.23,,63.04,59.5,48.5,46.59,46.31,46.08,42.53,41.36,44.74,50.27,49.98,51.56,49.87,53.11,45.28,49.1,55.07,56.2,58.05,57.57,53.81,37.57,34.87,48.31,61.14,59.77,59.16,58.29,55,59.38,63.35,65.79,66.01,68.13,67.41,68.31,66.72,73.26,74.19,72.34,72.69,74.66,74.84,79.77,81.76,83.52,84.43,84.24,97.82,84.94,95.59,92.21,90.7,93.11,93.62,101.96,107.26,101.87,95.74,92.46,98.35,98.14,101.62,108.21,106.38,103.02,103.89,106.26,107.54,115.12,120.04,118.35,110.53,111.53,113.35,113.07,123.01,128.82,127.53,127.14,129.84,131.36,133.37,137.29,137.48,134.06,136.55,139.22,143.44,144.79,145.49,149.23,151.24,151.24,150.81,151.03,151.3,158.71,159.81,154.52,156.86,161.91,160.31,162.2,170.28,170.86,167.88,169.4,167.92,172.13,176.74,175.19,183,181.58,187.18,184.87
country/region,Italy,walking,Italia,,,100,102.1,104.86,107.32,122.71,142.38,109.49,99.19,102.26,105.19,109.44,126.34,150.68,111.59,101.22,104.22,109.74,110.64,127.71,149.16,118.22,108.19,108.79,108.09,111.82,131.64,160.32,118.67,108.86,117.98,122.37,132.34,170.85,194.34,144.17,123.94,131.03,132.99,142.68,158.11,181.74,129.3,107.66,94.26,82.94,83.27,92.59,100.06,65.47,63.94,70.14,71.71,66.63,71.88,76,51.9,39.86,29.4,27.09,18.21,18.09,16.08,15.86,15.68,15.33,15.07,15.84,17.33,16.08,11.41,13.05,13.67,12.87,12.67,14.16,14.86,10.97,12.89,13.93,14.45,14.92,16.03,16.48,13.05,14.64,16.42,17.47,19.14,21.25,20.58,11.43,12.05,15.41,17.06,17.77,18.86,19.21,15.37,14.46,16.56,17.21,18.54,20.51,19.33,20.11,19.86,18.61,20.08,21.15,19.86,24.94,25.42,34.51,34.45,34.86,36.22,38.28,42.35,34.23,,,30.8,35.04,34.84,37.25,37.99,40.36,39.54,42.65,46.43,49.45,53.83,48.04,45.13,46.35,48.22,47.96,48.79,58.87,54.05,59.08,59.11,52.58,49.06,61.23,74.85,49.72,53.27,59.4,58.8,60.82,73.74,76.82,65.16,62.58,66.03,66.41,72.11,80.93,100.85,76.8,72.52,79.63,80.01,81.99,92.76,108.71,82.65,79.13,81.59,84.93,85.99,95.15,117.41,90.13,90.75,96.53,97.63,99.57,110.13,123.75,100.48,103.32,109.55,110.15,113.2,124.3,146.26,113.71,117.25,121.01,122.21,124.03,132.49,154.25,124.6,128.3,130.99,130.21,126.68,129.31,142.65,122.44,137.64,153.69,150.23,150.34,150.23,167.46,146.18,162.48,165.65,163.15,166.4,170.4,167.08,154.44,168.56,180.82,170.41,164.4,154.94,160.15,129.49,140.98,141.58,137.38,133.65,134.47,136.66,114.34,115.98,128.29,133.33,134,142.37,162.69,131.22,135.46,138.21,135.88,136.93,147.53,168.55,129.91,127.45,130.68,133.11,139.07,149.13,171.37,134.21,123.62,123.32,124.63,122.29,131.03,160.3,110.46,113.38,118.66,118.07,117.35,122.32,148.02,115.47,110.34,110.67,111.22,115.33,129.87,154.7,94.65,96.37,99.59,94.03,87.97,103.87,127.76,101.97,85.7,85.55,85.46,82.87,82.59,90.56,78.79,61.5,66.37,68.43,66.77,69.66,79.83,60.68,58.07,58.75,60,59.32,52.41,58.74,49.54,48.56,50.54,49.45,48.7,51.93,54.6,39.24,41.33,46.28,47.69,47.83,46.95,50.32,40.29,43.77,46.2,47.93,47.09,50.67,50.33,39.34,47.43,47.45,44.47,48.51,48.12,48.36,33.49,52.26,36.37,49.64,53.49,56.46,61.92,60.94,57.28,58.91,60.69,63.81,68.8,74.37,54.14,60.82,66.31,67.61,23.74,13.32,20.99,26.12,38.95,45.31,45.82,30.3,15.74,24.58,25.99,44.5,33.32,26.06,49.82,56.69,43.61,32.31,50.14,52.3,53.92,55.13,56.71,60.91,35.4,48.84,50.12,49.56,49.86,49.24,52.46,39.46,49.69,55.03,53.46,53.54,54.72,60.8,43.47,56.4,60.47,58.64,62.21,66.27,85.9,49.11,61.33,60.67,60.59,68.67,66.64,78.41,83.64,64.19,66.12,66.58,66.9,71.94,91.15,71.34,62.54,66.53,69.2,71.38,74.98,90.26,80.56,62.17,64.18,63.36,62.7,63.4,65.71,57.41,54.08,54.35,59.01,58.28,,71.16,52.68,45.38,46.65,48.11,47.75,48.58,48.63,39.47,47.45,49.74,50.84,51.64,55.7,52.3,45.97,50.76,55.7,57.49,58.62,56.2,39.86,28.07,40.49,48.23,51.31,55.25,55.77,51.5,39.53,50.99,56.87,59.9,58.12,61.72,68.65,48.82,58.79,63.03,62.09,62.79,67.26,77.15,65.53,65.92,68.98,72.99,69.56,87.19,93.34,99.32,77.43,78.15,81.94,84.1,95.82,132.14,106.25,76.49,70.52,84.03,86.51,90.33,127.76,101.47,83.53,86.1,89.15,95.29,109.64,144.46,119.43,83.24,95.85,97.14,100.64,116.06,149.75,128.73,108.8,118.47,132.8,116.63,128.44,149.73,112.06,101.51,106.28,112.36,116.64,128.3,154.6,119.45,112.94,117.58,118.48,121.61,137.41,162.23,120.31,118.63,122.59,124.06,130.96,150.52,167.01,131.47,126.47,127.18,132.18,137.79,149.56,177.92,139.59,144,144.94
sub-region,Piedmont Region,driving,Piemonte,,Italy,100,102.58,110.49,106.71,116.4,127.73,111.4,99.67,102.99,115.02,106.49,120.63,126.04,107.86,98.18,102.38,105.86,105.38,119.23,128.39,118.68,99.96,100.1,103.35,105,118.24,124.86,114.87,100.17,106.45,110.4,112.96,134.26,141.08,134.11,107.91,111.83,114.24,116.04,132.23,130.96,105.59,89.42,87.9,89.6,92.68,98.71,96.77,92.84,86.58,93.25,91.48,89.22,92.53,93.36,67.69,57.26,41.25,35.65,27.08,26.33,18.35,16.47,23.17,23.55,22.98,24.06,22.9,18.91,13.82,19.86,21.19,21.21,20.87,21.77,18.93,15.37,20.97,22.25,22.88,23,23.89,20.53,17.3,23.03,25.56,26.69,27.92,29.65,24.98,14.46,16.53,25.68,28.74,28.26,29.68,24.62,20.37,25.16,27.44,29.48,30.72,32.3,24.47,24.86,29.03,31.21,32.27,32.01,24.71,28.8,30.43,48.36,49.97,51.7,52.96,54.97,46.21,40.79,,,50.97,55.25,55.36,47.09,48.66,66.92,68.7,72.59,73.96,77.54,76.05,78.17,73.21,77.49,79.64,80.63,86.13,89.6,87.12,93.34,100.2,91.68,90.98,108.29,102.17,84.32,87.37,92.49,97.96,98.03,104.3,105.87,127.62,101.52,101.48,106.8,112.21,137.13,136.65,148.92,113.97,120.18,122.21,122.92,146.19,144.18,150.16,124.56,123.82,125.49,133.16,156.78,155.97,160.48,129.6,127.86,136.77,142.16,162.36,154.81,162.89,132.99,135.34,139.63,144.61,166.51,163.51,163.34,137.98,138.82,144.09,148.82,164.7,163.61,160.23,142.23,142.05,145.62,146.35,162.99,158.25,145.15,142.7,146.58,150.14,148.37,153.33,151.74,139.8,132,128.67,122.07,124.73,136.55,131.76,120.11,118.4,121.47,122.23,123.44,123.45,132.53,125.11,118.54,120.1,124.96,123.7,124.49,126.39,129.73,125.64,125.11,129.49,134.32,150.09,158.91,150.33,129.04,134.59,139.06,138.83,155.6,167.58,154.72,129.4,135.15,139.96,145.35,156.84,156.25,138.17,125.26,127.51,128.84,128.99,142.79,155.13,141.03,119.11,122.66,125.29,123.15,131.34,167.52,129.27,117.06,122.46,123.07,125.96,135.88,149.61,134.53,111.5,112.04,112.01,110.98,124.11,130.62,120.72,102.46,103.39,104.26,102.65,110.63,109.25,93.18,84.77,88.9,92.16,93.54,97.92,96.68,84.24,81.92,81.68,90.21,84.11,54.08,40.62,35.98,55.38,59.34,59.7,59.81,61.16,45.12,37.35,58.38,61.76,63.17,63.13,62.37,46.09,37.88,60.9,64.37,65.76,65.04,64.91,48.55,40.83,65.46,67.77,67.96,71.25,78.55,55.32,42.75,62.44,46.8,73.57,74.73,74.67,62.58,76.46,86.49,89.77,91.85,96.92,108.76,92.74,75.73,89.59,94.59,94.19,37.78,21.67,29.8,39.17,62.68,67.47,67.58,43.53,25.98,35.91,39.56,63.38,50.87,41.34,74.36,80.43,55.66,49.72,76.02,80.82,81.73,83.54,89.49,78.25,51.17,73.17,74.02,74.95,76.06,78.16,64.5,56.82,75.57,76.89,79.28,78.78,81.01,69.58,63.13,82.71,86.27,87.45,90.07,95.1,89.56,80.2,87.53,89.6,90.35,94.79,93.66,97.21,104.6,90.66,92.16,95.57,92.47,97.03,98.47,97.29,87.97,91.39,94.72,95.82,106.42,109.61,113.19,77.44,81.34,80.57,81.45,81.87,64.66,54.79,73.54,76.1,78.71,78.37,,66.59,54.46,63.37,64.96,66.75,68.72,68.46,54.32,47.56,67.44,69.95,73.38,73.28,76.1,60.29,53.87,71.58,73.34,75.13,78.01,75.12,57.59,41.37,61.03,74.19,77.82,78.75,76.39,60.36,56.21,79.38,84.51,84.86,85.71,88.16,78.5,71.57,85.78,87.22,87.47,91.73,97.17,86.07,81.21,93.99,97.87,101.27,101.44,115.57,97.41,122.29,103.19,105.34,113.04,110.96,130.33,134.18,127.22,101.86,103.46,113.39,116.46,121.54,129.28,130.73,111.55,112.41,117.95,119.69,128.9,136.82,148.54,114.19,117.58,119.22,123.65,139.45,142.16,137.88,117.29,126.37,141.08,125.01,134.71,138.98,146.55,117.64,123.4,128.95,132.41,146.56,154.44,155.15,128.56,128.61,130.74,137.24,154.51,156.41,140.24,127.32,134.42,136.83,139.25,152.75,152.42,154.9,135.42,138.86,143.93,150.25,155.18,154.93,147.43,138.92,135.63
